excel_row	sku	model	sector
276	EJE-EST-02-00	EJERCITADOR PASAMANOS Y 6 POSTES	Gimnasios de calistenia
277	EJE-EST-09-00	EJERCITADOR BARRAS DOMINADAS Y DOS POSTES	Gimnasios de calistenia
278	EJE-ID-23-00	EJERCITADOR PARED SUECA Y 2 POSTES	Gimnasios de calistenia
279	EJE-EST-07-00	EJERCITADOR BARRAS PARALELAS Y 2 POSTES	Gimnasios de calistenia
280	EJE-ID-52-00	PARED MILITAR	Gimnasios de calistenia
281	EJE-ID-32-00	EJERCITADOR JUMP BOX	Gimnasios de calistenia
282	CIR-00-07-00	CIRCUITO DE EJERCICIOS BASIC	Gimnasios de calistenia
283	CIR-00-02-00	CIRCUITO CALISTENIA BASICO	Gimnasios de calistenia
284	CIR-00-03-00	CIRCUITO CALISTENIA COMPLETO	Gimnasios de calistenia
285	CIR-00-04-00	CIRCUITO CROSS-FIT	Gimnasios de calistenia
286	CIR-00-06-00	CIRCUITO PARA DEPORTES	Gimnasios de calistenia
287	CIR-00-09-00	CIRCUITO DE EJERCICIOS	Gimnasios de calistenia
288	CIR-00-08-00	CIRCUITO DE EJERCICIOS COMPLETO	Gimnasios de calistenia
289	CIR-00-10-00	CIRCUITO HEXÁGONO DE EJERCICIO	Gimnasios de calistenia
290	CIR-00-11-00	CIRCUITO NINJA	Gimnasios de calistenia
291	EJE-ID-50-00	GIMNASIO MEDIANO DE BARRAS AL AIRE LIBRE	Gimnasios de calistenia
292	EJE-ID-49-00	GIMNASIO GRANDE DE BARRAS AL AIRE LIBRE	Gimnasios de calistenia
293	CIR-00-14-00	GIMNASIO CALISTENIA C	Gimnasios de calistenia
294	EJE-PE-02-00	EJERCITADOR PECHO Y ESPALDA CON PESAS	Gimnasios funcionales
295	EJE-PE-01-00	EJERCITADOR BARRA DE PESAS	Gimnasios funcionales
296	EJE-IN-01-00	EJERCITADOR DOMINADAS BARRAS DOBLE INCLUSIVO	Gimnasios funcionales
297	EJE-IN-03-00	EJERCITADOR BRAZOS Y PIERNAS DOBLE INCLUSIVO	Gimnasios funcionales
298	EJE-IN-04-00	EJERCITADOR COMBINADO DE BRAZOS Y MUÑECAS INCLUSIVO	Gimnasios funcionales
299	EJE-IN-02-00	EJERCITADOR MUÑECAS DOBLE INCLUSIVO	Gimnasios funcionales
300	EJE-IN-07-00	EJERCITADOR DOMINADAS EN BARRA FORTE INCLUSIVO	Gimnasios funcionales
301	EJE-IN-08-00	EJERCITADOR BRAZOS Y MUÑECAS FORTE INCLUSIVO	Gimnasios funcionales
302	EJE-IN-09-00	EJERCITADOR BRAZOS, MUÑECAS Y HOMBROS INCLUSIVO	Gimnasios funcionales
303	REH-00-02-00	RAMPA PARA REHABILITACION	Gimnasios funcionales
304	REH-00-03-00	ESCALERA PARA REHABILITACION	Gimnasios funcionales
