source_sku	source_model	commercial_sector	resolution_type	canonical_sku	canonical_product_id	canonical_status	canonical_name	confidence	evidence
MDA-PL-02-00	MÓDULO FREYA	Juegos de exterior	direct_sku	MDA-PL-02-00	30734	publish	Juego Magni	exact_sku	production_sku
COL-AB-01-00	COLUMPIO PP EN A CON 2 ASIENTOS DE BANDA	Juegos de exterior	direct_sku	COL-AB-01-00	7780	publish	COLUMPIO PP EN A CON 2 ASIENTOS DE BANDA	exact_sku	production_sku
COL-AS-01-00	COLUMPIO PP EN A CON 2 ASIENTOS DE SEGURIDAD	Residenciales y fraccionamientos	direct_sku	COL-AS-01-00	7781	publish	COLUMPIO PP EN A CON 2 ASIENTOS DE SEGURIDAD	exact_sku	production_sku
COL-AB-02-00	COLUMPIO PP EN A 3 ASIENTOS DE BANDA	Juegos de exterior	direct_sku	COL-AB-02-00	19063	publish	COLUMPIO PP EN A 3 ASIENTOS DE BANDA	exact_sku	production_sku
COL-AB-04-00	COLUMPIO PP EN A CON 4 ASIENTOS DE BANDA	Juegos de exterior	direct_sku	COL-AB-04-00	22667	publish	COLUMPIO PP EN A CON 4 ASIENTOS DE BANDA	exact_sku	production_sku
COL-AB-03-00	COLUMPIO PP EN U CON 3 ASIENTOS DE BANDA	Juegos de exterior	direct_sku	COL-AB-03-00	7783	publish	COLUMPIO PP EN U CON 3 ASIENTOS DE BANDA	exact_sku	production_sku
COL-BS-01-00	COLUMPIO CANGURO	Residenciales y fraccionamientos	direct_sku	COL-BS-01-00	7789	publish	COLUMPIO CANGURO	exact_sku	production_sku
COL-AB-06-00	COLUMPIO KRONE	Centro Comercial, Restaurantes y Hoteles	direct_sku	COL-AB-06-00	7791	publish	COLUMPIO KRONE	exact_sku	production_sku
CON-CR-01-00	CONJUNTO DE MEDIA LUNA	Residenciales y fraccionamientos	direct_sku	CON-CR-01-00	22323	publish	CONJUNTO DE MEDIA LUNA	exact_sku	production_sku
CON-CR-02-00	COLUMPIO MULTIJUEGO	Residenciales y fraccionamientos	direct_sku	CON-CR-02-00	7794	publish	COLUMPIO MULTIJUEGO	exact_sku	production_sku
CON-CR-04-00	CONJUNTO RESIDENCIAL, COLUMPIOS Y BAJADA COMPUESTO PLASTICO REFORZADO 2.40M	Residenciales y fraccionamientos	direct_sku	CON-CR-04-00	6964	publish	CONJUNTO RESIDENCIAL, COLUMPIOS Y BAJADA COMPUESTO PLASTICO REFORZADO 2.40M	exact_sku	production_sku
COL-AB-10-00	COLUMPIO RESIDENCIAL 2 CANASTILLAS	Residenciales y fraccionamientos	direct_sku	COL-AB-10-00	6962	publish	COLUMPIO RESIDENCIAL 2 CANASTILLAS	exact_sku	production_sku
PAS-00-01-00	PASAMANOS IDA Y VUELTA	Juegos de exterior	direct_sku	PAS-00-01-00	7081	publish	PASAMANOS IDA Y VUELTA	exact_sku	production_sku
PAS-00-02-00	PASAMANOS ONDULADO 2 x 3 MTS.	Escuelas y colegios	direct_sku	PAS-00-02-00	7086	publish	PASAMANOS ONDULADO 2 x 3 MTS.	exact_sku	production_sku
PAS-00-03-00	PASAMANOS RECTO 2 X 3 MTS.	Residenciales y fraccionamientos	direct_sku	PAS-00-03-00	7089	publish	PASAMANOS RECTO 2 X 3 MTS.	exact_sku	production_sku
IRE-00-01-00	MONTABLE BASICO	Escuelas y colegios	direct_sku	IRE-00-01-00	6994	publish	MONTABLE BASICO	exact_sku	production_sku
IRE-PL-01-00	MONTABLE ABEJA	Escuelas y colegios	direct_sku	IRE-PL-01-00	6992	publish	MONTABLE ABEJA	exact_sku	production_sku
IRE-PL-02-00	MONTABLE CAMION	Escuelas y colegios	direct_sku	IRE-PL-02-00	7003	publish	MONTABLE CAMION	exact_sku	production_sku
IRE-PL-03-00	MONTABLE MOTO	Escuelas y colegios	direct_sku	IRE-PL-03-00	6997	publish	MONTABLE MOTO	exact_sku	production_sku
IRE-PL-04-00	MONTABLE CABALLITO	Escuelas y colegios	direct_sku	IRE-PL-04-00	7819	publish	MONTABLE CABALLITO	exact_sku	production_sku
IRE-PL-05-00	MONTABLE GLOBFLEX	Escuelas y colegios	direct_sku	IRE-PL-05-00	6985	publish	MONTABLE GLOBFLEX	exact_sku	production_sku
