canonical_sku	canonical_product_id	canonical_name	commercial_sector
MES-LP-03-00	6433	MESA NUPTSE	Mesas y bancas
MES-LP-04-00	22393	4 MESAS PICNIC CON PERGOLA	Mesas y bancas
MES-LP-04-01	32107	MESA MOEBIUS CON COLUMPIOS EN PLASTIMADERA	Mesas y bancas
MES-LP-05-00	6370	MESA RODAS CON TECHO CIRCULAR	Mesas y bancas
MES-LP-06-00	6443	MESA PICNIC JAYA	Mesas y bancas
MES-LP-07-00	32105	MESA PICNIC TRIX	Mesas y bancas
MES-MA-01-00	32101	MESA CIRCULAR PARA ARBOL	Mesas y bancas
MES-PM-01-00	6431	MESA DE PICNIC PLASTIMADERA	Mesas y bancas
MES-PM-02-00	6438	MESA KENYA PLASTIMADERA	Mesas y bancas
MES-PM-03-00	32103	MESAPICNIC CHESTER	Mesas y bancas
MES-PP-01-00	22417	MESA CUBI	Mesas y bancas
MES-PP-02-00	22415	MESA PICNIC 3/3	Mesas y bancas
MES-PP-03-00	6429	MESA DE PICNIC	Mesas y bancas
MES-PV-01-00	8345	MESA DE PICNIC PVC	Mesas y bancas
MEV-CR-01-00	32305	Juego IBIZA	Residenciales y fraccionamientos
MEV-CR-02-00	32327	Juego PARMA	Residenciales y fraccionamientos
MEV-CR-03-00	6738	Juego GRADY	Escuelas y colegios
MMA-117	6506	Maceta Asimetrica Chica	Centro Comercial, Restaurantes y Hoteles
MMA-118	6509	Maceta Geométrica Megagrande	Centro Comercial, Restaurantes y Hoteles
MMA-217	6507	Maceta Geometrica Grande	Centro Comercial, Restaurantes y Hoteles
MMB-120	22332	Juego BARCO WOOD	Residenciales y fraccionamientos
MMR-122	22335	Juego RETOS BAJOS	Escuelas y colegios
MMW-122	22334	Juego WOOD	Residenciales y fraccionamientos
OKOK-H01	32264	EJERCITADO REMADORA OK	Gimnasios funcionales
OKOK-N01	32089	EJERCITADOR CINTURA Y ESCALERAS OK	Gimnasios funcionales
OKOK-Z08A	32266	EJERCITADOR BICICLETA OK	Gimnasios funcionales
OKST-C01X	32209	EJERCITADOR SURFER OK DOBLE	Gimnasios funcionales
OKST-F01X	32267	EJERCITADOR ABDOMINALES OK DOBLE	Gimnasios funcionales
OKST-J02X	32204	EJERCITADOR POTRO	Gimnasios funcionales
OKST-M04X	32263	EJERCITADOR CAMINADORA OK	Gimnasios funcionales
OKST-S03X	32270	EJERCITADOR BARRAS PARALELAS OK DOBLE	Gimnasios funcionales
OKST-T08X	32265	EJERCITADOR ELIPTICA OK	Gimnasios funcionales
OKST-Z01X	32269	EJERCITADOR DE PIERNAS OK DOBLE	Gimnasios funcionales
OKST-Z03X	32212	EJERCITADOR DE PECHO OK DOBLE	Gimnasios funcionales
OKST-Z04X	32210	EJERCITADOR BRAZOS OK DOBLE	Gimnasios funcionales
OKST-Z05X	32268	EJERCITADOR MOVIMIENTO DE CINTURA TRIPLE	Gimnasios funcionales
PAS-00-01-00	7081	PASAMANOS IDA Y VUELTA	Juegos de exterior
PAS-00-02-00	7086	PASAMANOS ONDULADO 2 x 3 MTS.	Escuelas y colegios
PAS-00-03-00	7089	PASAMANOS RECTO 2 X 3 MTS.	Residenciales y fraccionamientos
PAS-PL-01-00	28399	Pasapies	Escuelas y colegios
REH-00-02-00	6580	RAMPA PARA REHABILITACION	Gimnasios funcionales
REH-00-03-00	6583	ESCALERA PARA REHABILITACION	Gimnasios funcionales
REH-00-07-00	6589	CONJUNTO DE REHABILITACIÓN B	Gimnasios funcionales
REH-00-08-00	6585	CONJUNTO DE REHABILITACIÓN A	Gimnasios funcionales
RES-00-01-00	7012	RESBALADILLA LAM DE 2.40MT	Escuelas y colegios
RES-00-02-00	7014	RESBALADILLA LAMINA DE 3MT	Juegos de exterior
RES-PL-04-00	7009	RESBALADILLA RACER	Residenciales y fraccionamientos
RES-PP-01-00	7017	RESBALADILLA OLAS DE PLASTICO	Residenciales y fraccionamientos
RES-PP-01-01	7466	RESBALADILLA TRIPLE OLAS DE PLASTICO	Escuelas y colegios
SEÑ-00-03-00	6486	SEÑALETICA BASTON	Centro Comercial, Restaurantes y Hoteles
SEÑ-00-04-00	6484	SEÑALETICA CUBICA	Centro Comercial, Restaurantes y Hoteles
SEÑ-00-05-00	6488	Señalética Bandera (ESI-312)	Centro Comercial, Restaurantes y Hoteles
SEÑ-00-06-00	6490	SEÑALETICA VERTICAL	Centro Comercial, Restaurantes y Hoteles
SEÑ-00-10-00	7496	SEÑALETICA DIRECCIÓN	Centro Comercial, Restaurantes y Hoteles
SEÑ-00-13-00	6482	SEÑALETICA ARBOL	Residenciales y fraccionamientos
SEÑ-00-14-00	22396	MESA MAPA	Residenciales y fraccionamientos
SEÑ-00-15-00	22403	SEÑALETICA TOTEM	Residenciales y fraccionamientos
SEÑ-PL-01-00	22405	SEÑALETICA PLASTIPANEL 50 X 25 CM	Residenciales y fraccionamientos
SEÑ-PT-02-00	22401	TOTEM CON LUZ	Residenciales y fraccionamientos
SUB-00-01-00	7047	SUBE Y BAJA SENCILLO	Escuelas y colegios
SUB-00-01-01	7039	SUBE Y BAJA DOBLE	Residenciales y fraccionamientos
SUB-00-01-02	7043	SUBE Y BAJA TRIPLE	Juegos de exterior
SUB-00-02-01	7060	SUBE Y BAJA PULPO	Juegos de exterior
SUB-00-02-02	7066	SUBE Y BAJA PULPO TRIPLE	Juegos de exterior
SUB-IN-02-00	22329	SUBE Y BAJA PARA SILLA DE RUEDAS	Juegos inclusivos
SUB-MA-01-00	24871	SUBE Y BAJA DE MADERA NATURAL	Escuelas y colegios
SUB-PL-01-00	7065	SUBE Y BAJA BALLENA	Escuelas y colegios
TDF-00-01-00	32733	Juego VIZCAYA (TDF-00-01-00)	Juegos de exterior
TEM-IX-02-00	22313	Juego HEXAGON	Juegos de exterior
TEM-IX-03-00	22315	Juego ATALAYA	Juegos de exterior
TEM-PL-01-20	6884	Juego Nave Titán	Juegos de exterior
TEM-PL-02-20	6872	Juego NAVE ORION	Juegos de exterior
TEM-PL-03-00	6860	Juego Cohete Espacial	Escuelas y colegios
TEM-PL-07-00	7450	Juego MONSTRIKS	Centro Comercial, Restaurantes y Hoteles
TEM-PL-09-20	6852	Juego ROBOTO	Escuelas y colegios
TEM-PL-15-20	28365	Juego temático jirafa	Juegos de exterior
TEM-PL-16-20	28369	Juego temático Zebra	Juegos de exterior
TEM-PM-01-00	7831	TIPPIE	Centro Comercial, Restaurantes y Hoteles
TEM-PR-03-20	6874	Juego BARCO	Juegos de exterior
TEM-PR-04-20	6876	Juego NAVIO	Juegos de exterior
TEM-PR-07-20	32329	Juego TREN	Centro Comercial, Restaurantes y Hoteles
TEM-PR-09-00	7458	Juego HORMIGUERO	Escuelas y colegios
TER-PP-01-00	22413	TERRAZA	Mesas y bancas
TIR-00-01-00	32119	TIROLESA	Juegos de exterior
TRE-00-02-00	6928	TREPADERO TRIPLEX	Residenciales y fraccionamientos
TRE-00-03-00	6930	TREPADERO MEDIA ESFERA	Residenciales y fraccionamientos
TRE-CU-03-01	6916	TREPADERO PIRAMIDE CHICA	Juegos de exterior
TRE-CU-05-00	6918	TREPADERO TRIKON	Juegos de exterior
TRE-CU-07-00	7463	TREPADERO VITEX	Escuelas y colegios
TRE-CU-09-00	7464	TREPADERO SALIX	Juegos de exterior
TRE-CU-12-00	28398	CUBO DE RETOS BAJOS	Residenciales y fraccionamientos
TRE-PL-01-00	6920	TREPADERO GEODESICO	Escuelas y colegios
TRE-TM-02-00	6934	TREPADERO DINOSAURIO	Juegos de exterior
TRE-TM-03-00	6942	TREPADERO BALLENA	Escuelas y colegios
TRE-TM-05-00	6944	TREPADERO TORTUGA	Escuelas y colegios
