product_id	product_sku	product_name	product_status	document_count	pdf_count	zip_count	technical_sheet_count	drawing_2d_count	drawing_2d_package_count	technical_pdf_count	technical_package_count	total_bytes
7751	EVA-PR-01-20	Juego ATRACTION	publish	1	0	1	0	0	1	0	0	345060
7780	COL-AB-01-00	COLUMPIO PP EN A CON 2 ASIENTOS DE BANDA	publish	1	0	1	0	0	1	0	0	46534
7781	COL-AS-01-00	COLUMPIO PP EN A CON 2 ASIENTOS DE SEGURIDAD	publish	1	0	1	0	0	1	0	0	42057
7789	COL-BS-01-00	COLUMPIO CANGURO	publish	1	0	1	0	0	1	0	0	226474
7791	COL-AB-06-00	COLUMPIO KRONE	publish	1	0	1	0	0	1	0	0	91690
7794	CON-CR-02-00	COLUMPIO MULTIJUEGO	publish	1	0	1	0	0	1	0	0	80092
7819	IRE-PL-04-00	MONTABLE CABALLITO	publish	2	1	1	1	0	1	0	0	817672
7824	INT-PL-05-00	MURO SENSORIAL	publish	1	0	1	0	0	1	0	0	119309
7828	INT-00-03-00	TUBO DIDACTICO GRANDE	publish	1	0	1	0	0	1	0	0	48240
7831	TEM-PM-01-00	TIPPIE	publish	1	0	1	0	0	1	0	0	57163
7834	PIL-PT-01-00	Bubble Pillar (PTJ-620 C)	draft	1	0	1	0	0	1	0	0	41443
8007	DEP-00-07-00	PORTERIA CON TABLERO DE BÁSQUETBOL	publish	2	1	1	1	0	1	0	0	994322
8009	DEP-MO-04-00	GRADAS 5 ASIENTOS Y 4 DESCANSA PIES	publish	2	1	1	1	0	1	0	0	1318993
8012	CAN-PP-01-00	POSTE DE BOLSAS CON BASURERO CANINO	publish	2	1	1	1	0	1	0	0	731137
8314	BAN-PV-02-00	BANCA PMP PVC	publish	1	1	0	0	0	0	1	0	873703
8316	BAN-PP-04-00	BANCA KIRO	publish	2	1	1	1	0	1	0	0	1019729
8328	BAN-IN-02-00	BANCA LOGAN INCLUSIVA PVC	publish	1	1	0	0	0	0	1	0	828419
8336	BAN-PV-01-00	BANCA PUMORI PVC	publish	1	1	0	0	0	0	1	0	673985
8345	MES-PV-01-00	MESA DE PICNIC PVC	publish	2	1	1	1	0	1	0	0	945908
