product_id	product_sku	product_name	product_status	spec_key	spec_label	value_text	value_1	value_2	unit	source	source_confidence	ordinal	raw_label	raw_value
6203	EJE-FO-01-00	EJERCITADOR ABDOMINALES FORTE	publish	length	Largo	1.50 m	1.50		m	post_excerpt	high	1	Largo	1.50 m
6203	EJE-FO-01-00	EJERCITADOR ABDOMINALES FORTE	publish	width	Ancho	1.35 m	1.35		m	post_excerpt	high	2	Ancho	1.35 m
6203	EJE-FO-01-00	EJERCITADOR ABDOMINALES FORTE	publish	height	Alto	2.00 m	2.00		m	post_excerpt	high	3	Alto	2.00 m
6203	EJE-FO-01-00	EJERCITADOR ABDOMINALES FORTE	publish	minimum_area	Área mínima	3.00 m × 2.45 m	3.00	2.45	m	post_excerpt	high	4	Área mínima	3.00 m X 2.45 m
6203	EJE-FO-01-00	EJERCITADOR ABDOMINALES FORTE	publish	capacity	Capacidad	2 personas	2		persona	post_excerpt	high	5	Capacidad	2 personas
6205	BOT-LP-07-00	BOTE TOKYO	publish	length	Largo	0.60 m	0.60		m	post_excerpt	high	1	Largo	0.60 m
6205	BOT-LP-07-00	BOTE TOKYO	publish	width	Ancho	0.40 m	0.40		m	post_excerpt	high	2	Ancho	0.40 m
6205	BOT-LP-07-00	BOTE TOKYO	publish	height	Alto	0.90 m	0.90		m	post_excerpt	high	3	Alto	0.90 m
6205	BOT-LP-07-00	BOTE TOKYO	publish	capacity	Capacidad	80 personas	80		persona	post_excerpt	high	4	Capacidad	80 L
6207	BOT-00-01-00	BOTE CENTRO HISTORICO	publish	length	Largo	0.40 m	0.40		m	post_excerpt	high	1	Largo	0.40 m
6207	BOT-00-01-00	BOTE CENTRO HISTORICO	publish	width	Ancho	0.30 m	0.30		m	post_excerpt	high	2	Ancho	0.30 m
6207	BOT-00-01-00	BOTE CENTRO HISTORICO	publish	height	Alto	1.25 m	1.25		m	post_excerpt	high	3	Alto	1.25 m
6207	BOT-00-01-00	BOTE CENTRO HISTORICO	publish	capacity	Capacidad	30 personas	30		persona	post_excerpt	high	4	Capacidad	30 L
6207	BOT-00-01-00	BOTE CENTRO HISTORICO	publish	materials	Material	Metal				post_excerpt	high	5	Material	Metal
6210	BOT-LP-03-00	BOTE GRIJALVA	publish	length	Largo	0.55 m	0.55		m	post_excerpt	high	1	Largo	0.55 m
