product_id	product_name	product_slug	post_status	post_date	post_modified	sku	description_chars	short_description_chars	thumbnail_id	gallery_image_ids
6438	MESA KENYA PLASTIMADERA	mesa-kenia-plastimadera	publish	2020-12-30 00:09:56	2026-03-26 16:32:24	MES-PM-02-00	0	2819	6440	
6441	MESA DE PICNIC INCLUSIVA	mesa-de-picnic-inclusiva	publish	2020-12-30 00:11:51	2026-03-26 16:32:22	MES-IN-01-00	1121	2893	6442	
6443	MESA PICNIC JAYA	mesa-jaya	publish	2020-12-30 00:14:35	2026-03-26 16:32:23	MES-LP-06-00	0	2640	6444	
6445	APARCABICICLETA ONE RECTANGULAR	aparcabicicletas	publish	2020-12-30 00:16:23	2026-03-26 16:32:25	APA-00-05-00	0	1452	6447	
6448	APARCABICICLETA SIX ONDULADO	aparcabicicletas-six-ondulado-2	publish	2020-12-30 00:19:28	2026-03-26 16:32:26	APA-00-06-00	0	1431	22637	
6465	EJERCITADOR BARRA DE PESAS	barra-de-pesas	publish	2020-12-30 15:26:41	2026-03-26 16:32:52	EJE-PE-01-00	0	2643	6468	
6467	APARCABICICLETA ONE CURVO	aparcabicicletas-3	publish	2020-12-30 15:39:51	2026-03-26 16:32:25	APA-00-01-00	0	1420	22639	
6470	EJERCITADOR PECHO Y ESPALDA CON PESAS	pecho-y-espalda-con-pesas-ambar	publish	2020-12-30 15:42:15	2026-03-26 16:32:52	EJE-PE-02-00	0	2632	6477	
6472	APARCABICICLETA ONE SEMIONDULADO	aparcabicicletas-8	publish	2020-12-30 15:45:37	2026-03-26 16:32:26	APA-00-03-00	0	1329	6473	
6474	APARCABICICLETA THREE TRIANGULAR	aparcabicicletas-9	publish	2020-12-30 15:48:00	2026-03-26 16:32:26	APA-00-07-00	0	1420	6475	
6482	SEÑALETICA ARBOL	senaletica-3	publish	2020-12-30 15:53:09	2026-03-26 16:32:28	SEÑ-00-13-00	0	1364	25967	
6484	SEÑALETICA CUBICA	senaletica-4	publish	2020-12-30 15:56:09	2026-03-26 16:32:27	SEÑ-00-04-00	0	1364	6485	
6486	SEÑALETICA BASTON	senaletica-5	publish	2020-12-30 15:57:39	2026-03-26 16:32:27	SEÑ-00-03-00	0	1356	6487	
6488	Señalética Bandera (ESI-312)	senaletica-6	publish	2020-12-30 15:59:18	2022-12-28 22:43:00	SEÑ-00-05-00	0	1356	32098	
6490	SEÑALETICA VERTICAL	senaletica-7	publish	2020-12-30 16:01:11	2026-03-26 16:32:27	SEÑ-00-06-00	0	1354	6491	
6494	COLUMPIO CON CAMASTRO DE PLASTIPANEL	columpio-hamaca-doble	publish	2020-12-30 16:07:20	2026-03-26 16:32:08	COL-IN-03-00	0	1428	25949	24763,24554
