product_id	product_sku	product_name	product_status	unique_images	featured_images	gallery_images	parented_attachments	content_images	image_paths
6494	COL-IN-03-00	COLUMPIO CON CAMASTRO DE PLASTIPANEL	publish	3	1	2	2	0	2020/12/columpio-inclusivo-camastros.jpg | 2020/12/columpio-inclusivo-con-hamacas-productos-jumbo.jpg | 2022/12/columpios-inclusivos-oaxaca.jpg
6506	MMA-117	Maceta Asimetrica Chica	publish	2	1	1	2	0	2020/12/MMA-117.png | 2020/12/Maceta-Asimetrica-Chica-MMA-117.jpg
6507	MMA-217	Maceta Geometrica Grande	publish	2	1	1	2	0	2020/12/MMA-217.png | 2020/12/Maceta-Geometrica-Grande-MMA-217.jpg
6509	MMA-118	Maceta Geométrica Megagrande	publish	2	1	1	2	0	2020/12/MMA-118.png | 2020/12/maceta-Megagrande-MMA-118.jpg
6513	INOX-517B	Banca Loa Inox	draft	1	1	0	1	0	2020/12/INOX-517B.png
6520	BOT-IX-02-00	BOTE GRIJALVA DOBLE CON TAPA	publish	1	1	0	1	0	2020/12/INOX-418R.png
6526	CMT-118B	Banca Tikal	publish	3	1	1	2	0	2020/12/banca-tikal-de-concreto-productos-jumbo.jpg | 2021/12/banca-de-concreto-jumbo.jpg | 2026/03/CMT-118B-BANCA-TIKAL.avif
6528	CMT-218B	Banco Angkor	publish	2	1	0	2	0	2020/12/banca-angkor-mobiliario-concreto-productos-jumbo.jpg | 2026/03/CMT-218B-BANCO-ANGKOR.avif
6531	BOL-00-01-00	BOLARDO METALICO	publish	3	1	0	3	0	2020/12/BOL-1.png | 2020/12/BOL-COM.png | 2026/03/BOL-00-01-00-BOLARDO-METALICO.avif
6536	EJE-IN-02-00	EJERCITADOR MUÑECAS DOBLE INCLUSIVO	publish	2	1	1	1	0	2020/12/AEM-0212-DC.png | 2020/12/ejercitador-brazos-munecas-cuatro.jpg
6538	BOL-00-03-00	BOLARDO TRIANGULAR	publish	1	1	0	1	0	2020/12/BOL-118.png
6540	BOL-00-02-00	BOLARDO CUADRADO	publish	1	1	0	1	0	2020/12/BOL-218.png
6543	EJE-IN-03-00	EJERCITADOR BRAZOS Y PIERNAS DOBLE INCLUSIVO	publish	1	1	0	1	0	2020/12/AEF-0515-DC.png
6546	EJE-IN-04-00	EJERCITADOR COMBINADO DE BRAZOS Y MUÑECAS INCLUSIVO	publish	1	1	0	1	0	2020/12/AEF-415-DC.png
6557	EJE-IN-07-00	EJERCITADOR DOMINADAS EN BARRA FORTE INCLUSIVO	publish	1	1	0	1	0	2020/12/AED-008-DC.png
6561	EJE-IN-08-00	EJERCITADOR BRAZOS Y MUÑECAS FORTE INCLUSIVO	publish	1	1	0	1	0	2020/12/AED-011-DC.png
6564	EJE-IN-09-00	EJERCITADOR BRAZOS, MUÑECAS Y HOMBROS INCLUSIVO	publish	1	1	0	1	0	2020/12/AEF-215-DC.png
6569	BUS-LP-01-00	PARABUS LONG	publish	1	1	0	1	0	2020/12/PB-218.png
6575	BUS-TP-02-00	PARABUS FULL	publish	1	1	0	1	0	2020/12/PB-214.png
6577	FUMR-319	Fuente lineal 4 salidas, 4 jet, 2 m altura	publish	1	1	0	1	0	2020/12/fuente-04.png
6578	FUMR-319-1	Fuente lineal 4 salidas, 4 jet 3 m altura	publish	1	1	0	1	0	2020/12/fuente-03.png
