product_id	product_sku	product_name	product_status	relative_path	repository_path	mime_type	attachment_ids	roles
6260	BOT-LP-01-00	BOTE PARANA	publish	2020/12/Bote-Parana-BOT-LP-01-00.webp	media/production/uploads/2020/12/Bote-Parana-BOT-LP-01-00.webp	image/webp	29537	featured_image | parented_attachment
6260	BOT-LP-01-00	BOTE PARANA	publish	2020/12/bote-de-basura-parana-productos-jumbo-1.jpg	media/production/uploads/2020/12/bote-de-basura-parana-productos-jumbo-1.jpg	image/jpeg	25971	parented_attachment
6260	BOT-LP-01-00	BOTE PARANA	publish	2020/12/bote-de-basura-parana-productos-jumbo.jpg	media/production/uploads/2020/12/bote-de-basura-parana-productos-jumbo.jpg	image/jpeg	25970	parented_attachment
6264	BOT-LP-05-01	BOTE MISISIPI	publish	2020/12/MUO-1612.png	media/production/uploads/2020/12/MUO-1612.png	image/png	6266	featured_image | parented_attachment
6267	BOT-00-05-00	BOTE CUADRADO	publish	2020/12/MUO-519.png	media/production/uploads/2020/12/MUO-519.png	image/png	6270	featured_image | parented_attachment
6271	BOT-PM-01-00	BOTE CIRCULAR	publish	2020/12/Bote-Circular-con-Plastimadera-MUO-419.jpg	media/production/uploads/2020/12/Bote-Circular-con-Plastimadera-MUO-419.jpg	image/jpeg	22603	featured_image | parented_attachment
6271	BOT-PM-01-00	BOTE CIRCULAR	publish	2021/01/Eco-Jumbo-2022-logo-300x292.png	media/production/uploads/2021/01/Eco-Jumbo-2022-logo-300x292.png	image/png	21944	content_url
6278	BOT-PL-01-00	BOTE ONON	publish	2020/12/MUO-517.png	media/production/uploads/2020/12/MUO-517.png	image/png	6280	featured_image | parented_attachment
6283	BAN-00-09-00	BANCA HIMALAYA	publish	2020/12/banca-himalaya-productos-jumbo.jpg	media/production/uploads/2020/12/banca-himalaya-productos-jumbo.jpg	image/jpeg	25973	featured_image | parented_attachment
6285	EJE-EST-02-00	Ejercitador Pasamanos Y 6 Postes	publish	2020/12/AID-818.png	media/production/uploads/2020/12/AID-818.png	image/png	6287	parented_attachment
6285	EJE-EST-02-00	Ejercitador Pasamanos Y 6 Postes	publish	2026/03/EJE-EST-02-00-EJERCITADOR-PASAMANOS-Y-6-POSTES.avif	media/production/uploads/2026/03/EJE-EST-02-00-EJERCITADOR-PASAMANOS-Y-6-POSTES.avif	image/avif	32172	featured_image | parented_attachment
6288	BAN-LP-07-00	BANCA EVEREST	publish	2020/12/BF-112.png	media/production/uploads/2020/12/BF-112.png	image/png	6290	featured_image | parented_attachment
6293	BAN-PP-01-00	BANCA PMP PLASTIMADERA	publish	2020/12/BF-165.png	media/production/uploads/2020/12/BF-165.png	image/png	6294	parented_attachment
6293	BAN-PP-01-00	BANCA PMP PLASTIMADERA	publish	2020/12/ban-pp-01-00-scaled.png	media/production/uploads/2020/12/ban-pp-01-00-scaled.png	image/png	30670	featured_image | parented_attachment
6293	BAN-PP-01-00	BANCA PMP PLASTIMADERA	publish	2021/01/Eco-Jumbo-2022-logo-300x292.png	media/production/uploads/2021/01/Eco-Jumbo-2022-logo-300x292.png	image/png	21944	content_url
6299	BAN-PM-04-00	BANCA TÁCANA	publish	2020/12/MUA-116-2.png	media/production/uploads/2020/12/MUA-116-2.png	image/png	20089	featured_image | parented_attachment
6299	BAN-PM-04-00	BANCA TÁCANA	publish	2020/12/MUA-116.png	media/production/uploads/2020/12/MUA-116.png	image/png	6809	parented_attachment
6299	BAN-PM-04-00	BANCA TÁCANA	publish	2020/12/banca-tacana-plastimadera-exterior.jpg	media/production/uploads/2020/12/banca-tacana-plastimadera-exterior.jpg	image/jpeg	22027	gallery_image | parented_attachment
6299	BAN-PM-04-00	BANCA TÁCANA	publish	2021/01/Eco-Jumbo-2022-logo-300x292.png	media/production/uploads/2021/01/Eco-Jumbo-2022-logo-300x292.png	image/png	21944	content_url
6312	BAN-LP-06-00	BANCA CIRCULAR	publish	2020/12/MUA-519.png	media/production/uploads/2020/12/MUA-519.png	image/png	6317	featured_image | parented_attachment
6318	BAN-00-01-00	BANCA LOA LAMINA	publish	2020/12/Banca-Loa-Lamina-MUA-517A.jpg	media/production/uploads/2020/12/Banca-Loa-Lamina-MUA-517A.jpg	image/jpeg	22625	featured_image | parented_attachment
6318	BAN-00-01-00	BANCA LOA LAMINA	publish	2020/12/MUA-619.png	media/production/uploads/2020/12/MUA-619.png	image/png	6319	parented_attachment
6324	BAN-PP-08-00	BANCA LOA PLASTIMADERA	publish	2020/12/MUA-517B.png	media/production/uploads/2020/12/MUA-517B.png	image/png	6325	featured_image | parented_attachment
6324	BAN-PP-08-00	BANCA LOA PLASTIMADERA	publish	2020/12/banca-loa-de-plastimadera.jpg	media/production/uploads/2020/12/banca-loa-de-plastimadera.jpg	image/jpeg	22028	gallery_image | parented_attachment
6324	BAN-PP-08-00	BANCA LOA PLASTIMADERA	publish	2020/12/banca-loa-plastimadera-atras.jpg	media/production/uploads/2020/12/banca-loa-plastimadera-atras.jpg	image/jpeg	22029	gallery_image | parented_attachment
6324	BAN-PP-08-00	BANCA LOA PLASTIMADERA	publish	2021/01/Eco-Jumbo-2022-logo-300x292.png	media/production/uploads/2021/01/Eco-Jumbo-2022-logo-300x292.png	image/png	21944	content_url
6330	BAN-LP-04-00	BANCA AKIER	publish	2020/12/Banca-Akier-BAN-LP-04-00-500px-x-500-px.jpg	media/production/uploads/2020/12/Banca-Akier-BAN-LP-04-00-500px-x-500-px.jpg	image/jpeg	29340	featured_image | parented_attachment
6330	BAN-LP-04-00	BANCA AKIER	publish	2020/12/MUA-1013.png	media/production/uploads/2020/12/MUA-1013.png	image/png	6331	parented_attachment
6335	BAN-LP-03-00	BANCA PALERMO	publish	2020/12/Banca-Palermo-MUA-1212.jpg	media/production/uploads/2020/12/Banca-Palermo-MUA-1212.jpg	image/jpeg	22631	featured_image | parented_attachment
6341	BAN-IN-01-00	BANCA LOGAN INCLUSIVA	publish	2020/12/MUA-1015-DC.png	media/production/uploads/2020/12/MUA-1015-DC.png	image/png	6813	featured_image | parented_attachment
6341	BAN-IN-01-00	BANCA LOGAN INCLUSIVA	publish	2021/01/Eco-Jumbo-2022-logo-300x292.png	media/production/uploads/2021/01/Eco-Jumbo-2022-logo-300x292.png	image/png	21944	content_url
6345	EJE-ID-30-00	Private: Ejercitador Barras Dominadas Y 3 Postes (AID-1918)	private	2020/12/AID-1918.png	media/production/uploads/2020/12/AID-1918.png	image/png	6347	featured_image | parented_attachment
6346	BAN-00-07-00	BANCA ALPES	publish	2020/12/MUA-512.png	media/production/uploads/2020/12/MUA-512.png	image/png	6348	featured_image | parented_attachment
6346	BAN-00-07-00	BANCA ALPES	publish	2020/12/banca-alpes-para-parques.jpg	media/production/uploads/2020/12/banca-alpes-para-parques.jpg	image/jpeg	22191	gallery_image | parented_attachment
6350	BAN-00-05-00	BANCA PISSIS	publish	2020/12/MUA-617-2.png	media/production/uploads/2020/12/MUA-617-2.png	image/png	20832	parented_attachment
6350	BAN-00-05-00	BANCA PISSIS	publish	2020/12/MUA-617-3.png	media/production/uploads/2020/12/MUA-617-3.png	image/png	20996	featured_image | parented_attachment
6353	EJE-ID-32-00	EJERCITADOR JUMP BOX	publish	2020/12/AID-2218.png	media/production/uploads/2020/12/AID-2218.png	image/png	6355	featured_image | parented_attachment
6354	BAN-PM-07-00	BANCA BARCENA	publish	2020/12/MUA-317.png	media/production/uploads/2020/12/MUA-317.png	image/png	6814	featured_image | parented_attachment
6354	BAN-PM-07-00	BANCA BARCENA	publish	2020/12/banca-barcena-con-maceta.jpg	media/production/uploads/2020/12/banca-barcena-con-maceta.jpg	image/jpeg	22039	gallery_image | parented_attachment
6354	BAN-PM-07-00	BANCA BARCENA	publish	2021/01/Eco-Jumbo-2022-logo-300x292.png	media/production/uploads/2021/01/Eco-Jumbo-2022-logo-300x292.png	image/png	21944	content_url
6360	BAN-PM-05-00	BANCA PARA BOLERO	publish	2020/12/BBP-216.png	media/production/uploads/2020/12/BBP-216.png	image/png	6362	featured_image | parented_attachment
6360	BAN-PM-05-00	BANCA PARA BOLERO	publish	2021/01/Eco-Jumbo-2022-logo-300x292.png	media/production/uploads/2021/01/Eco-Jumbo-2022-logo-300x292.png	image/png	21944	content_url
